model,seq_len,window,v1_ms,v2_ms,speedup_v2_over_v1,interior_frac_pct
Qwen2-0.5B,1024,128,0.045,0.049,0.93,33.3
Qwen2-0.5B,1024,256,0.044,0.047,0.94,60.0
Qwen2-0.5B,1024,512,0.043,0.047,0.92,77.8
Qwen2-0.5B,2048,128,0.044,0.047,0.94,33.3
Qwen2-0.5B,2048,256,0.044,0.05,0.89,60.0
Qwen2-0.5B,2048,512,0.058,0.049,1.17,77.8
Qwen2-0.5B,4096,128,0.045,0.05,0.9,33.3
Qwen2-0.5B,4096,256,0.065,0.061,1.07,60.0
Qwen2-0.5B,4096,512,0.1,0.085,1.19,77.8
SmolLM2-1.7B,1024,128,0.043,0.046,0.94,33.3
SmolLM2-1.7B,1024,256,0.044,0.047,0.94,60.0
SmolLM2-1.7B,1024,512,0.055,0.047,1.17,77.8
SmolLM2-1.7B,2048,128,0.05,0.054,0.93,33.3
SmolLM2-1.7B,2048,256,0.07,0.066,1.06,60.0
SmolLM2-1.7B,2048,512,0.108,0.092,1.17,77.8
SmolLM2-1.7B,4096,128,0.088,0.094,0.93,33.3
SmolLM2-1.7B,4096,256,0.131,0.121,1.08,60.0
SmolLM2-1.7B,4096,512,0.209,0.174,1.21,77.8
